aaa            able        absolute      absolutely        abundant         abusive 
4              15               2               4               2               1 
acceptable          access        accesses      accessible   accommodating   accommodation 
3               8               1               1               9               2 
accommodations    accomodating     accordingly         accross           ached      acquainted 
3               2               1               1               1               1 
acres           acted          action      activities        activity          actual 
1               1               1               4               1               1 
actually        acutally             add           added       addicting      additional 
5               1               4               2               1               2 
address        adequate      adequately        adjacent          adjust           admit 
1               5               1               1               1               2 
adnvance         advance        advanced       advantage       adventure     adventurous 
1               3               1               3               1               2 
advice          advise         advisor          affect      affordable          afraid 
2               1               1               1               3               1 
afternoon    afterthought             age           agent            ages       aggresive 
4               1               3               1               1               1 
aggressive             ago           agree       agreement     agressively           ahead 
2               1               2               1               1               1 
air airconditioning         airline         airport        airshaft            airy 
7               1               3              21               1               1 
al          alaska         alaskan          albeit          alcove            alex 
4               4               4               2               1               1 
allergies           alley       alleyways           allow         allowed          allows 
1               3               1               1               3               2 
alternative   alternatively           altho          amazed         amazing       amazingly 
1               1               1               1               6               1 
ambiance        ambience       amenities         amenity         america        american 
6               1              12               1               2               2 
ammenities         amtrack          amtrak       amtraking     anniversary        annoying 
1               2              20               1               3               1 
answer        answered       answering         answers         anthony         antique 
2               1               1               1               1               1 
antiques         anxious         anytime         anyways      apparantly      apparently 
2               1               1               1               1               1 
appeal          appear      appearance        appeared         appears           apple 
1               1               2               2               2               1 
apples       appointed    appointments      appreciate     appreciated        approach 
4              10               1               4              10               1 
approached     appropriate            appy        aquarium   architectural    architecture 
1               1               1               3               1               3 
area          aready           areas            aren           arena         armoire 
53               1               4               2               1               1 
armor        arranged    arrangements           array         arrival         arrived 
1               2               2               2               4              20 
arriving          arrows             art          artist         artists         artwork 
1               1              11               1               1               1 
asian           aside             ask           asked          asking          aspect 
2               1               3              11               2               2 
assessed           asset          assist      assistance        assisted      associated 
1               1               1               3               1               1 
assortment          assume         assured             ate      atmosphere       attempted 
4               1               1               6               6               1 
attempting          attend       attendant       attending       attention       attentive 
1               1               2               3               2               4 
attitude     attractions      attractive      attributes          august       authentic 
1              17               4               1               5               1 
availability       available             ave          avenue         average       averaging 
3              13               5               3               4               1 
avoid        avoiding         awaited        awaiting           aware            away 
3               1               2               1               2              40 
awesome          awhile         awkward               b            baby          backed 
4               2               1               1               2               1 
backpack           bacon             bad             bag            bage           bagel 
1               1              15               2               1               2 
bagels         baggage          bagles            bags      bainbridge       balconies 
13               1               1               5               4               1 
balcony            ball         ballard        ballgame       ballgames        balloons 
9               4               1               2               1               1 
ballpark         bananas          banged        banister             bar            bare 
3               1               1               1               5               1 
barely         bargain            bars            base        baseball           based 
2               1              10               2               5               2 
basic       basically          basket            bath        bathroom       bathrooms 
2               1               2               2              23               4 
bathtub          batter        battered             bay             bbq              bc 
1               1               1               7               1               2 
beat      beautiflly       beautifly       beautiful      beautifull     beautifully 
2               1               1              24               1               6 
becasue             bed         bedding      bedraggled         bedroom            beds 
1              37               1               1               1              15 
bedside       bedspread            beer           beers           began         begging 
1               1               2               1               1               1 
beginning         belgian         belgium         believe       believers            bell 
2               2               1               1               1               5 
bellman         bellmen        belltown         beneath     bestwestern             bet 
2               1               1               1               1               1 
better        beverage          beware             big         bigelow          bigger 
16               1               1              26               1               1 
biggest        birthday        biscuits             bit            bite           bland 
1               2               1              15               1               1 
blankets           blind          blinds             blk           block         blocked 
1               1               1               1              40               1 
blocks         blowing           blues        bluffing           board        boarding 
43               1               1               1               3               2 
boardroom       boardwalk            boat           boats       boccalino          bodied 
1               1               2               1               4               1 
body          boeing            boil          boiled         bonding           bones 
1               1               1              11               1               1 
bonus            book          booked         booking       bookshops       bookstore 
3               9              15               3               1               1 
boot          booths         borders           bored            born          bother 
1               1               1               1               1               3 
bothered         bothers          bottle         bottled         bottles      bounciness 
2               1               5               3               3               1 
bounes        boutique       boutiques            bowl             box           boxed 
1               6               1               2               1               1 
brand           bread          breads       breakfast      breakfasts          breeze 
3               3               3             135               4               1 
bremerton            brew       breweries           brews           brick           brief 
1               1               1               1               2               1 
bright        brightly           bring         brother         brought          brunch 
1               1               5               1               1               1 
bubbly          bucket           bucks        buffered          buffet           buffs 
1               1               2               1               2               1 
building       buildings          buildt           built            bums           bunch 
28               3               1               3               1               1 
bus           buses        business        buslines            busy          butler 
36               6              19               1               6               2 
