aaa            able        absolute      absolutely        abundant         abusive 
0.017167382     0.064377682     0.008583691     0.017167382     0.008583691     0.004291845 
acceptable          access        accesses      accessible   accommodating   accommodation 
0.012875536     0.034334764     0.004291845     0.004291845     0.038626609     0.008583691 
accommodations    accomodating     accordingly         accross           ached      acquainted 
0.012875536     0.008583691     0.004291845     0.004291845     0.004291845     0.004291845 
acres           acted          action      activities        activity          actual 
0.004291845     0.004291845     0.004291845     0.017167382     0.004291845     0.004291845 
actually        acutally             add           added       addicting      additional 
0.021459227     0.004291845     0.017167382     0.008583691     0.004291845     0.008583691 
address        adequate      adequately        adjacent          adjust           admit 
0.004291845     0.021459227     0.004291845     0.004291845     0.004291845     0.008583691 
adnvance         advance        advanced       advantage       adventure     adventurous 
0.004291845     0.012875536     0.004291845     0.012875536     0.004291845     0.008583691 
advice          advise         advisor          affect      affordable          afraid 
0.008583691     0.004291845     0.004291845     0.004291845     0.012875536     0.004291845 
afternoon    afterthought             age           agent            ages       aggresive 
0.017167382     0.004291845     0.012875536     0.004291845     0.004291845     0.004291845 
aggressive             ago           agree       agreement     agressively           ahead 
0.008583691     0.004291845     0.008583691     0.004291845     0.004291845     0.004291845 
air airconditioning         airline         airport        airshaft            airy 
0.030042918     0.004291845     0.012875536     0.090128755     0.004291845     0.004291845 
al          alaska         alaskan          albeit          alcove            alex 
0.017167382     0.017167382     0.017167382     0.008583691     0.004291845     0.004291845 
allergies           alley       alleyways           allow         allowed          allows 
0.004291845     0.012875536     0.004291845     0.004291845     0.012875536     0.008583691 
alternative   alternatively           altho          amazed         amazing       amazingly 
0.004291845     0.004291845     0.004291845     0.004291845     0.025751073     0.004291845 
ambiance        ambience       amenities         amenity         america        american 
0.025751073     0.004291845     0.051502146     0.004291845     0.008583691     0.008583691 
ammenities         amtrack          amtrak       amtraking     anniversary        annoying 
0.004291845     0.008583691     0.085836910     0.004291845     0.012875536     0.004291845 
answer        answered       answering         answers         anthony         antique 
0.008583691     0.004291845     0.004291845     0.004291845     0.004291845     0.004291845 
antiques         anxious         anytime         anyways      apparantly      apparently 
0.008583691     0.004291845     0.004291845     0.004291845     0.004291845     0.004291845 
appeal          appear      appearance        appeared         appears           apple 
0.004291845     0.004291845     0.008583691     0.008583691     0.008583691     0.004291845 
apples       appointed    appointments      appreciate     appreciated        approach 
0.017167382     0.042918455     0.004291845     0.017167382     0.042918455     0.004291845 
approached     appropriate            appy        aquarium   architectural    architecture 
